Exajoules,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2019,2008-18,2019
Canada,5.99,5.58,5.39,5.44,5.41,5.47,5.72,5.79,6.18,6.32,6.45,6.23,-3.30%,0.70%,4.30%
Mexico,1.7,1.89,1.84,1.88,1.83,1.89,1.85,1.73,1.57,1.38,1.27,1.22,-3.40%,-2.90%,0.90%
US,19.66,20.07,20.71,22.22,23.37,23.6,25.37,26.65,26.18,26.86,30.09,33.15,10.20%,4.30%,23.10%
Total North America,27.35,27.55,27.93,29.54,30.61,30.96,32.94,34.16,33.94,34.56,37.8,40.61,7.40%,3.30%,28.30%
Argentina,1.54,1.45,1.4,1.36,1.32,1.24,1.24,1.28,1.34,1.34,1.42,1.5,5.60%,-0.80%,1.00%
Bolivia,0.5,0.43,0.49,0.54,0.62,0.7,0.73,0.7,0.68,0.66,0.61,0.54,-12.20%,2.10%,0.40%
Brazil,0.52,0.44,0.54,0.62,0.71,0.79,0.84,0.86,0.87,0.98,0.91,0.93,2.60%,5.80%,0.60%
Colombia,0.31,0.36,0.39,0.38,0.41,0.48,0.44,0.42,0.43,0.44,0.46,0.47,2.60%,4.00%,0.30%
Peru,0.13,0.13,0.26,0.41,0.43,0.45,0.47,0.46,0.5,0.47,0.46,0.49,5.60%,13.80%,0.30%
Trinidad & Tobago,1.35,1.39,1.45,1.39,1.39,1.39,1.37,1.29,1.13,1.15,1.22,1.24,1.80%,-1.00%,0.90%
Venezuela,1.2,1.14,1.1,1.09,1.15,1.1,1.14,1.3,1.34,1.39,1.14,0.95,-16.30%,-0.60%,0.70%
Other S. & Cent. America,0.14,0.14,0.14,0.11,0.11,0.1,0.09,0.1,0.11,0.11,0.12,0.13,5.20%,-1.50%,0.10%
Total S. & Cent. America,5.68,5.48,5.78,5.91,6.14,6.26,6.34,6.41,6.4,6.53,6.34,6.25,-1.50%,1.10%,4.40%
Denmark,0.38,0.32,0.31,0.25,0.22,0.18,0.17,0.17,0.17,0.18,0.15,0.12,-25.40%,-8.50%,0.10%
Germany,0.49,0.46,0.4,0.38,0.34,0.31,0.29,0.27,0.25,0.23,0.2,0.19,-3.80%,-8.60%,0.10%
Italy,0.32,0.27,0.29,0.29,0.3,0.27,0.25,0.23,0.2,0.19,0.19,0.17,-10.90%,-5.20%,0.10%
Netherlands,2.55,2.36,2.71,2.5,2.46,2.61,2.17,1.65,1.59,1.39,1.16,1.01,-13.00%,-7.60%,0.70%
Norway,3.58,3.73,3.83,3.62,4.1,3.89,3.89,4.18,4.17,4.44,4.37,4.12,-5.70%,2.00%,2.90%
Poland,0.15,0.15,0.15,0.16,0.16,0.16,0.16,0.15,0.15,0.15,0.14,0.14,0.10%,-0.70%,0.10%
Romania,0.38,0.37,0.36,0.36,0.36,0.36,0.37,0.37,0.33,0.36,0.36,0.35,-2.80%,-0.50%,0.20%
Ukraine,0.73,0.73,0.7,0.7,0.7,0.73,0.73,0.68,0.68,0.7,0.71,0.71,-0.50%,-0.30%,0.50%
United Kingdom,2.62,2.2,2.08,1.66,1.41,1.33,1.35,1.46,1.5,1.51,1.46,1.43,-2.20%,-5.70%,1.00%
Other Europe,0.34,0.33,0.34,0.33,0.3,0.26,0.23,0.22,0.31,0.32,0.3,0.27,-12.90%,-1.10%,0.20%
Total Europe,11.54,10.93,11.17,10.25,10.35,10.08,9.6,9.39,9.36,9.46,9.04,8.49,-6.10%,-2.40%,5.90%
Azerbaijan,0.57,0.57,0.59,0.57,0.61,0.63,0.66,0.68,0.66,0.64,0.69,0.88,27.70%,1.80%,0.60%
Kazakhstan,0.66,0.68,0.74,0.72,0.71,0.77,0.78,0.79,0.83,0.84,0.86,0.84,-2.20%,2.70%,0.60%
Russian Federation,22.01,19.3,21.54,22.21,21.67,22.12,21.28,21.04,21.21,22.88,24.09,24.45,1.50%,0.90%,17.00%
Turkmenistan,2.22,1.2,1.44,2.03,2.12,2.12,2.29,2.37,2.28,2.11,2.21,2.27,2.70%,?,1.60%
USSR,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
Uzbekistan,2.2,2.1,2.06,2.04,2.03,2.01,2.03,1.93,1.91,1.92,2.06,2.03,-1.60%,-0.70%,1.40%
Other CIS,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,2.00%,0.20%,?
Total CIS,27.67,23.87,26.38,27.58,27.16,27.67,27.05,26.82,26.9,28.41,29.92,30.47,1.90%,0.80%,21.20%
Bahrain,0.43,0.44,0.45,0.45,0.47,0.5,0.53,0.53,0.52,0.52,0.53,0.61,15.40%,2.00%,0.40%
Iran,4.45,4.89,5.18,5.44,5.65,5.67,6.32,6.61,7.18,7.9,8.58,8.79,2.40%,6.80%,6.10%
Iraq,0.23,0.25,0.26,0.23,0.23,0.25,0.27,0.26,0.36,0.36,0.38,0.39,1.90%,5.10%,0.30%
Kuwait,0.43,0.39,0.4,0.46,0.53,0.56,0.51,0.58,0.59,0.58,0.61,0.66,9.20%,3.40%,0.50%
Oman,0.87,0.86,0.93,0.98,1.02,1.11,1.06,1.11,1.13,1.16,1.3,1.31,0.90%,4.10%,0.90%
Qatar,2.87,3.33,4.43,5.41,5.85,6.05,6.1,6.3,6.25,6.07,6.35,6.41,0.90%,8.30%,4.50%
Saudi Arabia,2.75,2.68,3,3.16,3.4,3.42,3.5,3.57,3.79,3.93,4.04,4.09,1.40%,3.90%,2.80%
Syria,0.2,0.22,0.3,0.27,0.22,0.18,0.17,0.15,0.13,0.13,0.13,0.13,3.60%,-4.30%,0.10%
United Arab Emirates,1.76,1.71,1.8,1.84,1.91,1.92,1.9,2.11,2.17,2.24,2.21,2.25,1.90%,2.30%,1.60%
Yemen,-,0.03,0.23,0.34,0.27,0.37,0.35,0.1,0.02,0.02,0.02,0.02,0.80%,n/a,?
Other Middle East,0.12,0.1,0.12,0.15,0.09,0.23,0.26,0.29,0.33,0.34,0.36,0.37,0.10%,11.30%,0.30%
Total Middle East,14.12,14.9,17.09,18.72,19.64,20.26,20.98,21.61,22.46,23.28,24.51,25.03,2.10%,5.70%,17.40%
Algeria,2.97,2.76,2.79,2.87,2.82,2.86,2.89,2.93,3.29,3.35,3.38,3.1,-8.10%,1.30%,2.20%
Egypt,2.04,2.17,2.12,2.13,2.11,1.94,1.69,1.53,1.45,1.76,2.11,2.34,10.90%,0.30%,1.60%
Libya,0.54,0.54,0.58,0.27,0.42,0.44,0.43,0.4,0.34,0.31,0.3,0.34,14.00%,-5.80%,0.20%
Nigeria,1.18,0.83,1.11,1.31,1.41,1.19,1.44,1.71,1.53,1.7,1.74,1.77,2.10%,3.90%,1.20%
Other Africa,0.6,0.61,0.69,0.69,0.68,0.71,0.71,0.77,0.8,0.96,0.98,1.01,2.70%,5.10%,0.70%
Total Africa,7.34,6.92,7.28,7.26,7.44,7.14,7.15,7.34,7.41,8.07,8.5,8.57,0.70%,1.50%,6.00%
Australia,1.5,1.68,1.94,2,2.14,2.22,2.4,2.74,3.47,4.06,4.68,5.52,18.00%,12.10%,3.80%
Bangladesh,0.59,0.67,0.69,0.7,0.77,0.79,0.83,0.93,0.95,0.96,0.96,1.03,8.00%,5.00%,0.70%
Brunei,0.43,0.4,0.43,0.45,0.44,0.43,0.46,0.48,0.47,0.46,0.45,0.47,3.30%,0.60%,0.30%
China,2.91,3.09,3.48,3.82,4.01,4.39,4.72,4.88,4.97,5.37,5.82,6.39,9.90%,7.20%,4.50%
India,1.06,1.3,1.71,1.55,1.34,1.12,1.06,1.01,0.96,1,0.99,0.97,-2.10%,-0.70%,0.70%
Indonesia,2.69,2.81,3.13,2.98,2.82,2.79,2.75,2.74,2.7,2.62,2.62,2.43,-7.20%,-0.30%,1.70%
Malaysia,2.49,2.38,2.34,2.41,2.49,2.61,2.6,2.77,2.76,2.82,2.78,2.84,2.00%,1.10%,2.00%
Myanmar,0.44,0.41,0.44,0.45,0.45,0.46,0.6,0.69,0.66,0.64,0.61,0.61,?,3.40%,0.40%
Pakistan,1.25,1.25,1.27,1.27,1.32,1.28,1.26,1.26,1.25,1.25,1.23,1.22,-1.00%,-0.10%,0.80%
Thailand,1.07,1.06,1.21,1.22,1.38,1.4,1.41,1.35,1.34,1.29,1.25,1.29,3.00%,1.50%,0.90%
Vietnam,0.26,0.28,0.33,0.29,0.32,0.34,0.35,0.37,0.37,0.34,0.35,0.35,2.00%,2.90%,0.20%
Other Asia Pacific,0.66,0.67,0.65,0.66,0.65,0.67,0.85,1.06,1.09,1.09,1.01,1.07,5.50%,4.40%,0.70%
Total Asia Pacific,15.35,16.01,17.63,17.81,18.14,18.51,19.28,20.28,20.98,21.9,22.75,24.2,6.30%,4.00%,16.80%
Total World,109.06,105.66,113.26,117.07,119.48,120.88,123.33,126.02,127.45,132.21,138.87,143.62,3.40%,2.40%,100.00%
